AOL,2015-06-22,49.97,50.02,49.96,49.99,3200053.0,0.0,1.0,49.97,50.02,49.96,49.99,3200053.0
AON,2016-08-16,109.33,109.89,109.16,109.17,562269.0,0.0,1.0,109.33,109.89,109.16,109.17,562269.0
AOS,2016-08-16,94.55,94.57,93.44,93.51,247219.0,0.0,1.0,94.55,94.57,93.44,93.51,247219.0
AOSL,2016-08-16,19.22,19.2264,18.81,19.07,168100.0,0.0,1.0,19.22,19.2264,18.81,19.07,168100.0
AP,2016-08-16,13.08,13.11,12.56,12.66,22914.0,0.0,1.0,13.08,13.11,12.56,12.66,22914.0
APA,2016-08-16,49.67,51.34,48.871,50.97,3754036.0,0.0,1.0,49.67,51.34,48.871,50.97,3754036.0
APAGF,2015-03-04,27.06,27.06,27.06,27.06,0.0,0.0,1.0,27.06,27.06,27.06,27.06,0.0
APAM,2016-08-16,27.21,27.3,26.79,26.83,222642.0,0.0,1.0,27.21,27.3,26.79,26.83,222642.0
APC,2016-08-16,54.52,54.57,53.09,54.15,3917605.0,0.0,1.0,54.52,54.57,53.09,54.15,3917605.0
APD,2016-08-16,152.66,154.91,152.51,152.77,1884302.0,0.0,1.0,152.66,154.91,152.51,152.77,1884302.0
APEI,2016-08-16,22.11,22.4,21.54,22.24,137185.0,0.0,1.0,22.11,22.4,21.54,22.24,137185.0
APH,2016-08-16,60.35,60.69,59.84,59.84,930475.0,0.0,1.0,60.35,60.69,59.84,59.84,930475.0
APL,2015-03-04,27.14,27.16,26.52,26.63,1598242.0,0.0,1.0,27.14,27.16,26.52,26.63,1598242.0
APOG,2016-08-16,47.34,47.34,46.45,46.46,147864.0,0.0,1.0,47.34,47.34,46.45,46.46,147864.0
APOL,2016-08-16,9.02,9.03,8.96,8.99,393011.0,0.0,1.0,9.02,9.03,8.96,8.99,393011.0
APP,2015-10-05,0.1123,0.1123,0.1123,0.1123,333.0,0.0,1.0,0.1123,0.1123,0.1123,0.1123,333.0
ARAY,2016-08-16,5.5,5.57,5.4387,5.48,331609.0,0.0,1.0,5.5,5.57,5.4387,5.48,331609.0
ARC,2016-08-16,3.13,3.215,3.08,3.1,112708.0,0.0,1.0,3.13,3.215,3.08,3.1,112708.0
ARCB,2016-08-16,17.39,17.6,17.19,17.39,87854.0,0.0,1.0,17.39,17.6,17.19,17.39,87854.0
ARCC,2016-08-16,15.47,15.51,15.42,15.45,1331215.0,0.0,1.0,15.47,15.51,15.42,15.45,1331215.0
ARCW,2016-08-16,2.45,2.5025,2.4,2.42,32186.0,0.0,1.0,2.45,2.5025,2.4,2.42,32186.0
ARE,2016-08-16,110.52,111.16,109.44,109.84,571620.0,0.0,1.0,110.52,111.16,109.44,109.84,571620.0
AREX,2016-08-16,2.46,2.79,2.4,2.61,1841131.0,0.0,1.0,2.46,2.79,2.4,2.61,1841131.0
ARG,2016-05-20,142.98,142.99,142.95,142.95,6627583.0,0.0,1.0,142.98,142.99,142.95,142.95,6627583.0
ARI,2016-08-16,16.31,16.32,16.215,16.24,509412.0,0.0,1.0,16.31,16.32,16.215,16.24,509412.0
ARIA,2016-08-16,10.6,10.68,10.53,10.55,4079037.0,0.0,1.0,10.6,10.68,10.53,10.55,4079037.0
ARII,2016-08-16,41.18,41.73,40.87,41.07,79241.0,0.0,1.0,41.18,41.73,40.87,41.07,79241.0
ARNA,2016-08-16,1.69,1.7,1.65,1.65,779110.0,0.0,1.0,1.69,1.7,1.65,1.65,779110.0
ARO,2016-04-21,0.229,0.229,0.151,0.1511,6199654.0,0.0,1.0,0.229,0.229,0.151,0.1511,6199654.0
AROW,2016-08-16,31.69,31.8,31.52,31.64,9708.0,0.0,1.0,31.69,31.8,31.52,31.64,9708.0
ARPI,2016-02-29,16.04,16.13,15.84,15.89,4232295.0,0.0,1.0,16.04,16.13,15.84,15.89,4232295.0
ARQL,2016-08-16,1.51,1.529,1.44,1.45,151166.0,0.0,1.0,1.51,1.529,1.44,1.45,151166.0
ARR,2016-08-16,22.08,22.18,21.96,21.97,485168.0,0.0,1.0,22.08,22.18,21.96,21.97,485168.0
ARRS,2016-08-16,28.28,28.3696,27.765,27.78,1061032.0,0.0,1.0,28.28,28.3696,27.765,27.78,1061032.0
ARRY,2016-08-16,3.65,3.69,3.51,3.51,1537529.0,0.0,1.0,3.65,3.69,3.51,3.51,1537529.0
ARSD,2014-06-17,10.72,11.05,10.57,11.01,81625.0,0.0,1.0,10.72,11.05,10.57,11.01,81625.0
ARTC,2014-05-29,48.6,48.61,48.56,48.6,916000.0,0.0,1.0,48.6,48.61,48.56,48.6,916000.0
ARTNA,2016-08-16,31.0,31.0,29.11,29.4,49483.0,0.0,1.0,31.0,31.0,29.11,29.4,49483.0
